Rank,Change,Relationship,Fandom,Total Works,Release Date
"[1, None]","[None, 0]","['Evil Queen | Regina Mills', 'Emma Swan']",Once Upon a Time (TV),4602,2011 Oct 23
"[2, None]","[None, 0]","['Rose Lalonde', 'Kanaya Maryam']",Homestuck,2506,2010 Jul 31
"[3, None]","['New', None]","['Laura Hollis', 'Carmilla Karnstein']",Carmilla (Web Series),2432,2014 Aug 19
"[4, None]","['-', 1]","['Santana Lopez', 'Brittany S. Pierce']",Glee,1901,2009 Sep 09
"[5, None]","['+', 36]","['Korra', 'Asami Sato']",Avatar: Legend of Korra,1760,2012 Apr 28
"[6, None]","['+', 2]","['Krista Lenz | Historia Reiss', 'Ymir']",Shingeki no Kyojin | Attack on Titan,1625,2010 Jan 09
"[7, None]","['-', 3]","['Rachel Berry', 'Quinn Fabray']",Glee,1589,2009 May 19
"[8, None]","['New', None]","['Clarke Griffin', 'Lexa']",The 100 (TV),1426,2014 Dec 03
"[9, None]","['-', 3]","['Allison Argent', 'Lydia Martin']",Teen Wolf (TV),1234,2011 Jun 05
"[10, None]","['-', 5]","['Myka Bering', 'Helena “H. G.” Wells']",Warehouse 13,1135,2010 Jul 06
"[11, None]","['New', None]","['Peggy Carter', 'Angie Martinelli']",Agent Carter (TV),963,2015 Jan 06
"[12, None]","['+', 13]","['Jemma Simmons', 'Skye | Daisy Johnson']",Agents of S.H.I.E.L.D. (TV),933,2013 Sep 24
"[13, None]","['+', 6]","['Delphine Cormier', 'Cosima Niehaus']",Orphan Black (TV),887,2013 Apr 27
"[14, None]","['New', None]","['Root', 'Sameen Shaw']",Person of Interest (TV),856,2013 Feb 21
"[15, None]","['-', 8]","['Maura Isles', 'Jane Rizzoli']",Rizzoli & Isles,801,2010 Jul 12
"[16, None]","['-', 2]","['Anna', 'Elsa (Frozen)']",Frozen (2013),787,2013 Nov 27
"[17, None]","['+', 5]","['Mikasa Ackerman', 'Annie Leonhart']",Shingeki no Kyojin | Attack on Titan,750,2009 Oct 09
"[18, None]","['-', 8]","['Gwen', 'Morgana (Merlin)']",Merlin (TV),659,2008 Sep 20
"[19, None]","['-', 10]","['Tara Maclay', 'Willow Rosenberg']",Buffy the Vampire Slayer,650,1999 Dec 14
"[20, None]","['-', 9]","['Pepper Potts', 'Natasha Romanov']",The Avengers (Marvel Movies),646,2010 May 07
"[21, None]","['-', 9]","['Chloe', 'Beca Mitchell']",Pitch Perfect (Movies),633,2012 Dec 21
