Rank,Change,Relationship,Fandom,Total Works,Type,Race
"[1, None]","['+', 1]","['Castiel', 'Dean Winchester']",Supernatural,43209,"['M', 'M']",White
"[2, None]","['-', 1]","['Sherlock Holmes', 'John Watson']",Sherlock (TV),39374,"['M', 'M']",White
"[3, None]","[None, 0]","['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),34999,"['M', 'M']",White
"[4, None]","[None, 0]","['Harry Styles', 'Louis Tomlinson']",One Direction (Band),21658,"['M', 'M']",White
"[5, None]","[None, 0]","['Dean Winchester', 'Sam Winchester']",Supernatural,14677,"['M', 'M']",White
"[6, None]","[None, 0]","['Merlin', 'Arthur Pendragon']",Merlin (TV),13337,"['M', 'M']",White
"[7, None]","['+', 15]","['James “Bucky” Barnes', 'Steve Rogers']",Captain America (Movies),12337,"['M', 'M']",White
"[8, None]","[None, 0]","['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),11999,"['M', 'M']",White
"[9, None]","['-', 2]","['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,11552,"['M', 'M']",White
"[10, None]","[None, 0]","['Blaine Anderson', 'Kurt Hummel']",Glee,10911,"['M', 'M']",Whi/POC
"[11, None]","['-', 2]","['Sherlock Holmes', 'John Watson']",Sherlock (TV),10524,Gen,White
"[12, None]","['-', 1]","['Rodney McKay', 'John Sheppard']",Stargate Atlantis,8548,"['M', 'M']",White
"[13, None]","[None, 0]","['Erik Lehnsherr', 'Charles Xavier']",X-Men: First Class (2011),8544,"['M', 'M']",White
"[14, None]","[None, 0]","['Jensen Ackles', 'Jared Padalecki']",Supernatural RPF,7751,"['M', 'M']",White
"[15, None]","['+', 2]","['Clint Barton', 'Phil Coulson']",The Avengers (Marvel Movies),7484,"['M', 'M']",White
"[16, None]","['+', 17]","['Levi', 'Eren Yeager']",Shingeki no Kyojin | Attack on Titan,7207,"['M', 'M']",White
"[17, None]","['+', 1]","['Enjolras', 'Grantaire']",Les Misérables - All Media Types,6838,"['M', 'M']",White
"[18, None]","['+', 7]","['Clint Barton', 'Natasha Romanov']",The Avengers (Marvel Movies),6751,"['F', 'M']",White
"[19, None]","['+', 8]","['Zayn Malik', 'Liam Payne']",One Direction (Band),6665,"['M', 'M']",Whi/POC
"[20, None]","['-', 4]","['Steve McGarrett', 'Danny “Danno” Williams']",Hawaii Five-0 (2010),6534,"['M', 'M']",White
"[21, None]","['+', 7]","['Gabriel', 'Sam Winchester']",Supernatural,6325,"['M', 'M']",White
"[22, None]","['-', 3]","['James T. Kirk', 'Spock']",Star Trek: Alternate Original Series (Movies),6247,"['M', 'M']",White
"[23, None]","['-', 11]","['Jim Ellison', 'Blair Sandburg']",The Sentinel,6090,"['M', 'M']",White
"[24, None]","['+', 10]","['Bilbo Baggins', 'Thorin Oakenshield']",The Hobbit - All Media Types,6086,"['M', 'M']",White
"[25, None]","['+', 14]","['Ian Gallagher', 'Mickey Milkovich']",Shameless (US),5908,"['M', 'M']",White
"[26, None]","['-', 2]","['Harry Potter', 'Severus Snape']",Harry Potter - J. K. Rowling,5812,"['M', 'M']",White
"[27, None]","['-', 7]","['Jack Harkness', 'Ianto Jones']",Torchwood,5689,"['M', 'M']",White
