Rank,Change,Relationship,Fandom,Total Works,Type,Race
"[1, None]","[None, 0]","['Castiel', 'Dean Winchester']",Supernatural,66148,"['M', 'M']",White
"[2, None]","[None, 0]","['Sherlock Holmes', 'John Watson']",Sherlock (TV),52232,"['M', 'M']",White
"[3, None]","[None, 0]","['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),47528,"['M', 'M']",White
"[4, None]","[None, 0]","['Harry Styles', 'Louis Tomlinson']",One Direction (Band),29338,"['M', 'M']",White
"[5, None]","[None, 0]","['James “Bucky” Barnes', 'Steve Rogers']",Captain America (Movies),27854,"['M', 'M']",White
"[6, None]","[None, 0]","['Dean Winchester', 'Sam Winchester']",Supernatural,22797,"['M', 'M']",White
"[7, None]","['+', 2]","['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,22402,"['M', 'M']",White
"[8, None]","['-', 1]","['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),19859,"['M', 'M']",White
"[9, None]","['-', 1]","['Merlin', 'Arthur Pendragon']",Merlin (TV),17565,"['M', 'M']",White
"[10, None]","['+', 1]","['Sherlock Holmes', 'John Watson']",Sherlock (TV),14453,Gen,White
"[11, None]","['-', 1]","['Blaine Anderson', 'Kurt Hummel']",Glee,14059,"['M', 'M']",Whi/POC
"[12, None]","['New', None]","['Katsuki Yuuri', 'Victor Nikiforov']",Yuri!!! on Ice (Anime),13902,"['M', 'M']",Whi/POC
"[13, None]","[None, 0]","['Levi', 'Eren Yeager']",Shingeki no Kyojin | Attack on Titan,11702,"['M', 'M']",White
"[14, None]","['-', 2]","['Erik Lehnsherr', 'Charles Xavier']",X-Men (Alternate Timeline Movies),11683,"['M', 'M']",White
"[15, None]","['+', 4]","['Will Graham', 'Hannibal Lecter']",Hannibal (TV),11262,"['M', 'M']",White
"[16, None]","['-', 1]","['Jensen Ackles', 'Jared Padalecki']",Supernatural RPF,11242,"['M', 'M']",White
"[17, None]","['New', None]","['Keith', 'Lance (Voltron)']",Voltron: Legendary Defender,10614,"['M', 'M']",Amb/POC
"[18, None]","['-', 4]","['Rodney McKay', 'John Sheppard']",Stargate Atlantis,10445,"['M', 'M']",White
"[19, None]","['+', 2]","['Sirius Black', 'Remus Lupin']",Harry Potter - J. K. Rowling,10137,"['M', 'M']",White
"[20, None]","['-', 2]","['Gabriel', 'Sam Winchester']",Supernatural,10060,"['M', 'M']",White
"[21, None]","['+', 15]","['Dan Howell', 'Phil Lester']",Phandom/The Fantastic Foursome (YouTube RPF),9938,"['M', 'M']",White
"[22, None]","['+', 32]","['Magnus Bane', 'Alec Lightwood']",Shadowhunters (TV),9734,"['M', 'M']",Whi/POC
"[23, None]","['-', 7]","['Clint Barton', 'Phil Coulson']",The Avengers (Marvel Movies),9606,"['M', 'M']",White
"[24, None]","['-', 7]","['Clint Barton', 'Natasha Romanov']",The Avengers (Marvel Movies),9421,"['F', 'M']",White
"[25, None]","['-', 1]","['Oliver Queen', 'Felicity Smoak']",Arrow (TV 2012),9258,"['F', 'M']",White
"[26, None]","['-', 1]","['James T. Kirk', 'Spock']",Star Trek: Alternate Original Series (Movies),9127,"['M', 'M']",White
"[27, None]","[None, 0]","['Evil Queen | Regina Mills', 'Emma Swan']",Once Upon a Time (TV),9071,"['F', 'F']",Whi/POC
"[28, None]","['+', 3]","['Harry Potter', 'Severus Snape']",Harry Potter - J. K. Rowling,8818,"['M', 'M']",White
"[29, None]","['-', 1]","['Ian Gallagher', 'Mickey Milkovich']",Shameless (US),8707,"['M', 'M']",White
"[30, None]","['-', 8]","['Enjolras', 'Grantaire']",Les Misérables - All Media Types,8701,"['M', 'M']",White
"[31, None]","['-', 5]","['Steve McGarrett', 'Danny “Danno” Williams']",Hawaii Five-0 (2010),8657,"['M', 'M']",White
"[32, None]","['+', 7]","['Clarke Griffin', 'Lexa']",The 100 (TV),8535,"['F', 'F']",White
"[33, None]","['-', 3]","['Bellamy Blake', 'Clarke Griffin']",The 100 (TV),8506,"['F', 'M']",Whi/POC
"[34, None]","['-', 14]","['Zayn Malik', 'Liam Payne']",One Direction (Band),8481,"['M', 'M']",Whi/POC
"[35, None]","['-', 12]","['Bilbo Baggins', 'Thorin Oakenshield']",The Hobbit - All Media Types,8305,"['M', 'M']",White
"[36, None]","['+', 1]","['Captain Hook | Killian Jones', 'Emma Swan']",Once Upon a Time (TV),8061,"['F', 'M']",White
"[37, None]","['+', 20]","['Armitage Hux', 'Ben Solo | Kylo Ren']",Star Wars Episode VII: The Force Awakens (2015),8022,"['M', 'M']",White
"[38, None]","['-', 6]","['Frank Iero', 'Gerard Way']",My Chemical Romance,7823,"['M', 'M']",White
"[39, None]","['-', 10]","['Pepper Potts', 'Tony Stark']",The Avengers (Marvel Movies),7709,"['F', 'M']",White
"[40, None]","['-', 7]","['Jack Harkness', 'Ianto Jones']",Torchwood,7475,"['M', 'M']",White
"[41, None]","['+', 49]","['Min Yoongi | Suga', 'Park Jimin']",Bangtan Boys | BTS,7150,"['M', 'M']",POC
"[42, None]","['-', 2]","['Mycroft Holmes', 'Lestrade']",Sherlock (TV),7125,"['M', 'M']",White
"[43, None]","[None, 0]","['Belle', 'Rumplestiltskin | Mr. Gold']",Once Upon a Time (TV),6985,"['F', 'M']",White
"[44, None]","['+', 11]","['Iwaizumi Hajime', 'Oikawa Tooru']",Haikyuu!!,6964,"['M', 'M']",POC
"[45, None]","['-', 10]","['Allison Argent', 'Scott McCall']",Teen Wolf (TV),6937,"['F', 'M']",Whi/POC
"[46, None]","['New', None]","['Jeon Jungkook', 'Kim Taehyung | V']",Bangtan Boys | BTS,6832,"['M', 'M']",POC
"[47, None]","['-', 13]","['Loki', 'Thor']",Thor (Movies),6740,"['M', 'M']",White
"[48, None]","['-', 7]","['James T. Kirk', 'Leonard McCoy']",Star Trek: Alternate Original Series (Movies),6598,"['M', 'M']",White
"[49, None]","['-', 1]","['Sherlock Holmes', 'Molly Hooper']",Sherlock (TV),6506,"['F', 'M']",White
"[50, None]","[None, 0]","['Hermione Granger', 'Ron Weasley']",Harry Potter - J. K. Rowling,6490,"['F', 'M']",Whi/Amb
