Rank,Change,Relationship,Fandom,Total Works,Type,Race
"[51, None]","['-', 13]","['Jim Ellison', 'Blair Sandburg']",The Sentinel,6446,"['M', 'M']",White
"[52, None]","['-', 3]","['Castiel', 'Dean Winchester']",Supernatural,6444,Gen,White
"[53, None]","['-', 7]","['Inquisitor', 'Cullen Rutherford']",Dragon Age: Inquisition,6405,Other,Whi/Amb
"[54, None]","['-', 3]","['Hinata Shouyou', 'Kageyama Tobio']",Haikyuu!!,6391,"['M', 'M']",POC
"[55, None]","['+', 14]","['Adrien Agreste', 'Marinette Dupain-Cheng']",Miraculous Ladybug,6307,"['F', 'M']",Whi/POC
"[56, None]","['-', 11]","['Arthur', 'Eames (Inception)']",Inception (2010),6096,"['M', 'M']",White
"[57, None]","['-', 15]","['Loki', 'Tony Stark']",The Avengers (Marvel Movies),6091,"['M', 'M']",White
"[58, None]","['+', 30]","['Josh Dun', 'Tyler Joseph']",Twenty One Pilots,5886,"['M', 'M']",Whi/POC
"[59, None]","['-', 12]","['Marco Bott', 'Jean Kirstein']",Shingeki no Kyojin | Attack on Titan,5746,"['M', 'M']",White
"[60, None]","['-', 16]","['Clark Kent', 'Lex Luthor']",Smallville,5630,"['M', 'M']",White
"[61, None]","['-', 9]","['Tenth Doctor', 'Rose Tyler']",Doctor Who (2005),5583,"['F', 'M']",White
"[62, None]","['-', 9]","['James Bond', 'Q']",James Bond (Craig movies),5267,"['M', 'M']",White
"[63, None]","['-', 4]","['Dean Winchester', 'Sam Winchester']",Supernatural,5249,Gen,White
"[64, None]","['New', None]","['Kim Namjoon | Rap Monster', 'Kim Seokjin | Jin']",Bangtan Boys | BTS,5152,"['M', 'M']",POC
"[65, None]","['New', None]","['Jeon Jungkook', 'Park Jimin']",Bangtan Boys | BTS,5077,"['M', 'M']",POC
"[66, None]","['-', 1]","['James “Bucky” Barnes', 'Steve Rogers']",Captain America (Movies),5021,Gen,White
"[67, None]","['+', 1]","['Harry Potter', 'Ginny Weasley']",Harry Potter - J. K. Rowling,4971,"['F', 'M']",White
"[68, None]","['-', 12]","['Mary Morstan', 'John Watson']",Sherlock (TV),4900,"['F', 'M']",White
"[69, None]","['+', 4]","['Leo Fitz', 'Jemma Simmons']",Agents of S.H.I.E.L.D. (TV),4863,"['F', 'M']",White
"[70, None]","['+', 7]","['James Potter', 'Lily Evans Potter']",Harry Potter - J. K. Rowling,4842,"['F', 'M']",White
"[71, None]","['-', 11]","['Laura Hollis', 'Carmilla Karnstein']",Carmilla (Web Series),4729,"['F', 'F']",White
"[72, None]","['-', 8]","['Patrick Stump', 'Pete Wentz']",Fall Out Boy,4700,"['M', 'M']",Whi/POC
"[73, None]","['+', 7]","['Hermione Granger', 'Draco Malfoy']",Harry Potter - J. K. Rowling,4661,"['F', 'M']",Whi/Amb
"[74, None]","['-', 9]","['Jessica Moore', 'Sam Winchester']",Supernatural,4491,"['F', 'M']",White
"[75, None]","['+', 9]","['Benton Fraser', 'Ray Kowalski']",due South,4481,"['M', 'M']",White
"[76, None]","['-', 18]","['John Egbert', 'Dave Strider']",Homestuck,4463,"['M', 'M']",Ambig
"[77, None]","['-', 5]","['Inquisitor', 'Solas']",Dragon Age: Inquisition,4436,Other,Whi/Amb
"[78, None]","['New', None]","['Alexander Hamilton', 'John Laurens']",Hamilton – Miranda,4409,"['M', 'M']",POC
"[79, None]","['-', 17]","['Jane Foster', 'Thor']",The Avengers (Marvel Movies),4350,"['F', 'M']",White
"[80, None]","['-', 17]","['Katniss Everdeen', 'Peeta Mellark']",Hunger Games Trilogy - Suzanne Collins,4326,"['F', 'M']",Whi/Amb
"[81, None]","['-', 10]","['Levi', 'Erwin Smith']",Shingeki no Kyojin | Attack on Titan,4289,"['M', 'M']",White
"[82, None]","['-', 21]","['Niall Horan', 'Harry Styles']",One Direction (Band),4218,"['M', 'M']",White
"[83, None]","['New', None]","['Sawamura Daichi', 'Sugawara Koushi']",Haikyuu!!,4164,"['M', 'M']",POC
"[84, None]","['-', 2]","['Harry Hart', 'Gary “Eggsy” Unwin']",Kingsman: The Secret Service (2015),4121,"['M', 'M']",White
"[85, None]","['+', 12]","['Fox Mulder', 'Dana Scully']",The X-Files,4097,"['F', 'M']",White
"[86, None]","['-', 19]","['Carlos', 'Cecil Palmer']",Welcome to Night Vale,4053,"['M', 'M']",Amb/POC
"[87, None]","['-', 9]","['America (Hetalia)', 'England (Hetalia)']",Hetalia: Axis Powers,4030,"['M', 'M']",White
"[88, None]","['New', None]","['Dean Winchester', 'You']",Supernatural,4027,Other,Whi/Amb
"[89, None]","['-', 13]","['Nanase Haruka', 'Tachibana Makoto']",Free!,3964,"['M', 'M']",POC
"[90, None]","['+', 5]","['Uchiha Sasuke', 'Uzumaki']",Naruto Naruto,3942,"['M', 'M']",POC
"[91, None]","['-', 17]","['Sebastian Moran', 'James Moriarty']",Sherlock (TV),3926,"['M', 'M']",White
"[92, None]","['-', 7]","['Peter Hale', 'Stiles Stilinski']",Teen Wolf (TV),3900,"['M', 'M']",White
"[93, '=']","['New', None]","['Akaashi Keiji', 'Bokuto Koutarou']",Haikyuu!!,3888,"['M', 'M']",POC
"[93, '=']","['+', 1]","['Poe Dameron', 'Finn']",Star Wars Episode VII: The Force Awakens (2015),3888,"['M', 'M']",POC
"[95, None]","['New', None]","['Jung Hoseok | J-Hope', 'Min Yoongi | Suga']",Bangtan Boys | BTS,3887,"['M', 'M']",POC
"[96, None]","['New', None]","['Otabek Altin', 'Yuri Plisetsky']",Yuri!!! on Ice (Anime),3852,"['M', 'M']",Whi/POC
"[97, None]","['-', 27]","['Niall Horan', 'Zayn Malik']",One Direction (Band),3795,"['M', 'M']",Whi/POC
"[98, None]","['New', None]","['Kara Danvers', 'Lena Luthor']",Supergirl (TV 2015),3793,"['F', 'F']",White
"[99, None]","['New', None]","['Katsuki Yuuri', 'Victor Nikiforov']",Yuri!!! on Ice (Anime),3782,Gen,Whi/POC
"[100, None]","['New', None]","['Peter Parker', 'Wade Wilson']",Spider-Man - All Media Types,3770,"['M', 'M']",White
