Rank,Relationship,Fandom,Type,Total Works
`[1, None]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),`['M', 'M']`,20415
`[2, None]`,`['Castiel', 'Dean Winchester']`,Supernatural,`['M', 'M']`,15307
`[3, None]`,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),`['M', 'M']`,15162
`[4, None]`,`['Dean Winchester', 'Sam Winchester']`,Supernatural,`['M', 'M']`,7959
`[5, None]`,`['Merlin', 'Arthur Pendragon']`,Merlin (TV),`['M', 'M']`,7838
`[6, None]`,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,`['M', 'M']`,7021
`[7, None]`,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),`['M', 'M']`,6809
`[8, None]`,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),`['M', 'M']`,6681
`[9, None]`,`['Jim Ellison', 'Blair Sandburg']`,The Sentinel,`['M', 'M']`,6660
`[10, None]`,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,`['M', 'M']`,6107
`[11, None]`,`['Clark Kent', 'Lex Luthor']`,Smallville,`['M', 'M']`,5879
`[12, None]`,`['Blaine Anderson', 'Kurt Hummel']`,Glee,`['M', 'M']`,5483
`[13, None]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),Gen,5072
`[14, None]`,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men: First Class (2011),`['M', 'M']`,5017
`[15, None]`,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),`['M', 'M']`,4989
`[16, None]`,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,`['M', 'M']`,4721
`[17, None]`,`['Merlin', 'Arthur Pendragon (Merlin)']`,Merlin (TV),`['M', 'M']`,4075
`[18, None]`,`['Jack Harkness', 'Ianto Jones']`,Torchwood,`['M', 'M']`,3796
`[19, None]`,`['Clint Barton', 'Phil Coulson']`,The Avengers (Marvel Movies),`['M', 'M']`,3721
`[20, None]`,`['Arthur', 'Eames (Inception)']`,Inception (2010),`['M', 'M']`,3645
`[21, None]`,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,`['M', 'M']`,3334
`[22, None]`,`['James T. Kirk', 'Leonard McCoy']`,Star Trek: Alternate Original Series (Movies),`['M', 'M']`,3140
`[23, None]`,`['Enjolras', 'Grantaire']`,Les Misérables - All Media Types,`['M', 'M']`,3041
`[24, None]`,`['Clint Barton', 'Natasha Romanov']`,The Avengers (Marvel Movies),`['F', 'M']`,3017
`[25, None]`,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),`['M', 'M']`,2995
`[26, None]`,`['Harry Potter', 'Severus Snape']`,Harry Potter - J. K. Rowling,`['M', 'M']`,2930
`[27, None]`,`['Loki', 'Thor']`,Thor (Movies),`['M', 'M']`,2921
`[28, None]`,`['Allison Argent', 'Scott McCall']`,Teen Wolf (TV),`['F', 'M']`,2855
`[29, None]`,`['Gabriel', 'Sam Winchester']`,Supernatural,`['M', 'M']`,2730
`[30, None]`,`['Benton Fraser', 'Ray Kowalski']`,due South,`['M', 'M']`,2624
`[31, None]`,`['Frank', 'Gerard']`,My Chemical Romance,`['M', 'M']`,2593
`[32, None]`,`['Pepper Potts', 'Tony Stark']`,The Avengers (Marvel Movies),`['F', 'M']`,2475
`[33, None]`,`['Daniel Jackson', 'Jack O"Neill']`,Stargate SG-1,`['M', 'M']`,2436
`[34, None]`,`['Frank Iero', 'Gerard Way']`,My Chemical Romance,`['M', 'M']`,2414
`[35, None]`,`['Zayn Malik', 'Liam Payne']`,One Direction (Band),`['M', 'M']`,2301
`[36, None]`,`['Mycroft Holmes', 'Lestrade']`,Sherlock (TV),`['M', 'M']`,2281
`[37, None]`,`['Loki', 'Tony Stark']`,The Avengers (Marvel Movies),`['M', 'M']`,2209
`[38, None]`,`['John Egbert', 'Dave Strider']`,Homestuck,`['M', 'M']`,2200
`[39, None]`,`['Bilbo Baggins', 'Thorin Oakenshield']`,The Hobbit (Jackson movies),`['M', 'M']`,1973
`[40, None]`,`['The Doctor', 'River Song']`,Doctor Who (2005),`['F', 'M']`,1925
`[41, None]`,`['Hermione Granger', 'Ron Weasley']`,Harry Potter - J. K. Rowling,`['F', 'M']`,1845
`[42, None]`,`['Spike', 'Buffy Summers']`,Buffy the Vampire Slayer,`['F', 'M']`,1840
`[43, None]`,`['James Bond', 'Q']`,Skyfall (2012),`['M', 'M']`,1750
`[44, None]`,`['Adam Lambert', 'Tommy Ratliff']`,Adam Lambert (Musician),`['M', 'M']`,1746
