Rank,Change,Relationship,Fandom,Total Works,Type,Race
`[20, None]`,`['-', 5]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),17417,Gen,White
`[21, None]`,`[None, 0]`,`['Pepper Potts', 'Tony Stark']`,Marvel Cinematic Universe,17384,`['F', 'M']`,White
`[22, None]`,`['+', 18]`,`['Peter Parker', 'Tony Stark']`,Marvel Cinematic Universe,17366,Gen,White
`[23, None]`,`['-', 7]`,`['Dan Howell', 'Phil Lester']`,Phandom/The Fantastic Foursome (YouTube RPF),17316,`['M', 'M']`,White
`[24, None]`,`['-', 6]`,`['Will Graham', 'Hannibal Lecter']`,Hannibal (TV),17257,`['M', 'M']`,White
`[25, None]`,`['+', 21]`,`['Bakugou Katsuki', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,16824,`['M', 'M']`,POC
`[26, None]`,`['-', 3]`,`['Kim Namjoon | RM', 'Kim Seokjin | Jin']`,Bangtan Boys | BTS,16682,`['M', 'M']`,POC
`[27, None]`,`['-', 10]`,`['Blaine Anderson', 'Kurt Hummel']`,Glee,16175,`['M', 'M']`,Whi/POC
`[28, None]`,`['+', 24]`,`['Bakugou Katsuki', 'Kirishima Eijirou']`,Boku no Hero Academia | My Hero Academia,15375,`['M', 'M']`,POC
`[29, None]`,`['-', 5]`,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),14736,`['M', 'M']`,White
`[30, None]`,`['-', 8]`,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,14304,`['M', 'M']`,White
`[31, None]`,`['+', 22]`,`['Midoriya Izuku', 'Todoroki Shouto']`,Boku no Hero Academia | My Hero Academia,14073,`['M', 'M']`,POC
`[32, None]`,`['-', 2]`,`['Keith', 'Shiro (Voltron)']`,Voltron: Legendary Defender,13925,`['M', 'M']`,Amb/POC
`[33, None]`,`['-', 5]`,`['Armitage Hux', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,13475,`['M', 'M']`,White
`[34, None]`,`['-', 8]`,`['Gabriel', 'Sam Winchester']`,Supernatural,13166,`['M', 'M']`,White
`[35, None]`,`['New', None]`,`['Lán Zhàn | Lán Wàngjī', 'Wèi Yīng | Wèi Wúxiàn']`,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,13132,`['M', 'M']`,POC
`[36, None]`,`['+', 14]`,`['Kara Danvers', 'Lena Luthor']`,Supergirl (TV 2015),13048,`['F', 'F']`,White
`[37, None]`,`['-', 10]`,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,13046,`['M', 'M']`,White
`[38, None]`,`['-', 7]`,`['Loki', 'Thor (Marvel)']`,Thor (Movies),12863,`['M', 'M']`,White
`[39, None]`,`['-', 6]`,`['Bellamy Blake', 'Clarke Griffin']`,The 100 (TV),12750,`['F', 'M']`,Whi/POC
`[40, None]`,`['+', 2]`,`['Jung Hoseok | J-Hope', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,12668,`['M', 'M']`,POC
`[41, None]`,`['-', 6]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),12286,`['F', 'F']`,Whi/POC
`[42, None]`,`['New', None]`,`['Eddie Kaspbrak', 'Richie Tozier']`,IT (Movies – Muschietti),12227,`['M', 'M']`,White
`[43, None]`,`['-', 6]`,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),12015,`['M', 'M']`,White
`[44, None]`,`['-', 10]`,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,11951,`['M', 'M']`,White
`[45, None]`,`['-', 9]`,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),11750,`['M', 'M']`,White
`[46, None]`,`['+', 2]`,`['Hermione Granger', 'Ron Weasley']`,Harry Potter - J. K. Rowling,11700,`['F', 'M']`,Whi/Amb
`[47, None]`,`['-', 9]`,`['Clarke Griffin', 'Lexa']`,The 100 (TV),11651,`['F', 'F']`,White
`[48, None]`,`['-', 7]`,`['Harry Potter', 'Severus Snape']`,Harry Potter - J. K. Rowling,11582,`['M', 'M']`,White
`[49, None]`,`['-', 5]`,`['Ian Gallagher', 'Mickey Milkovich']`,Shameless (US),11436,`['M', 'M']`,White
`[50, None]`,`['-', 11]`,`['Clint Barton', 'Natasha Romanov']`,The Avengers (Marvel Movies),11340,`['F', 'M']`,White
`[51, None]`,`['+', 6]`,`['Iwaizumi Hajime', 'Oikawa Tooru']`,Haikyuu!!,11155,`['M', 'M']`,POC
`[52, None]`,`['-', 20]`,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),11147,`['F', 'M']`,White
`[53, None]`,`['-', 10]`,`['Clint Barton', 'Phil Coulson']`,The Avengers (Marvel Movies),10642,`['M', 'M']`,White
`[54, None]`,`['-', 9]`,`['Enjolras', 'Grantaire (Les Misérables)']`,Les Misérables - All Media Types,10604,`['M', 'M']`,White
`[55, None]`,`['+', 11]`,`['Hinata Shouyou', 'Kageyama Tobio']`,Haikyuu!!,10486,`['M', 'M']`,POC
`[56, None]`,`['-', 7]`,`['Mycroft Holmes', 'Lestrade']`,Sherlock (TV),10450,`['M', 'M']`,White
`[57, None]`,`['-', 10]`,`['Captain Hook | Killian Jones', 'Emma Swan']`,Once Upon a Time (TV),10301,`['F', 'M']`,White
`[58, None]`,`['+', 11]`,`['Hermione Granger', 'Draco Malfoy']`,Harry Potter - J. K. Rowling,10190,`['F', 'M']`,Whi/Amb
`[59, None]`,`['+', 6]`,`['James Potter', 'Lily Evans Potter']`,Harry Potter - J. K. Rowling,10125,`['F', 'M']`,White
`[60, None]`,`['+', 13]`,`['Kim Taehyung | V', 'Park Jimin']`,Bangtan Boys | BTS,9891,`['M', 'M']`,POC
`[61, None]`,`['-', 10]`,`['Bilbo Baggins', 'Thorin Oakenshield']`,The Hobbit - All Media Types,9875,`['M', 'M']`,White
`[62, None]`,`['-', 2]`,`['Loki', 'Tony Stark']`,The Avengers (Marvel Movies),9781,`['M', 'M']`,White
`[63, None]`,`['-', 5]`,`['Jack Harkness', 'Ianto Jones']`,Torchwood,9666,`['M', 'M']`,White
`[64, None]`,`['-', 9]`,`['Frank Iero', 'Gerard Way']`,My Chemical Romance,9574,`['M', 'M']`,White
`[65, None]`,`['-', 11]`,`['Tenth Doctor', 'Rose Tyler']`,Doctor Who (2005),9568,`['F', 'M']`,White
`[66, None]`,`['+', 5]`,`['Jeon Jungkook', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,9498,`['M', 'M']`,POC
`[67, None]`,`['-', 3]`,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),9347,Gen,White
`[68, None]`,`['+', 4]`,`['Harry Potter', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,9269,`['F', 'M']`,White
`[69, None]`,`['-', 8]`,`['Castiel', 'Dean Winchester']`,Supernatural,9122,Gen,White
`[70, None]`,`['-', 14]`,`['Zayn Malik', 'Liam Payne']`,One Direction (Band),8967,`['M', 'M']`,Whi/POC
`[71, None]`,`['-', 3]`,`['Fox Mulder', 'Dana Scully']`,The X-Files,8825,`['F', 'M']`,White
`[72, None]`,`['+', 4]`,`['Dean Winchester', 'Sam Winchester']`,Supernatural,8791,Gen,White
`[73, None]`,`['New', None]`,`['Dazai Osamu', 'Nakahara Chuuya (Bungou Stray Dogs)']`,文豪ストレイドッグス | Bungou Stray Dogs,8768,`['M', 'M']`,POC
`[74, None]`,`['-', 12]`,`['Sherlock Holmes', 'Molly Hooper']`,Sherlock (TV),8560,`['F', 'M']`,White
`[75, None]`,`['-', 8]`,`['Inquisitor', 'Cullen Rutherford']`,Dragon Age: Inquisition,8175,Other,Whi/Amb
`[76, None]`,`['New', None]`,`['Aziraphale', 'Crowley (Good Omens)']`,Good Omens (TV),7928,Gen,White
`[77, None]`,`['-', 14]`,`['Belle', 'Rumplestiltskin | Mr. Gold']`,Once Upon a Time (TV),7927,`['F', 'M']`,White
`[78, None]`,`['-', 3]`,`['James T. Kirk', 'Leonard "Bones" McCoy']`,Star Trek: Alternate Original Series (Movies),7855,`['M', 'M']`,White
`[79, None]`,`['+', 4]`,`['James "Bucky" Barnes', 'Reader']`,Marvel Cinematic Universe,7724,Other,Whi/Amb
`[80, None]`,`['+', 6]`,`['Uchiha Sasuke', 'Uzumaki Naruto']`,Naruto,7705,`['M', 'M']`,POC
`[81, None]`,`['New', None]`,`['Akaashi Keiji', 'Bokuto Koutarou']`,Haikyuu!!,7629,`['M', 'M']`,POC
`[82, None]`,`['-', 8]`,`['Allison Argent', 'Scott McCall']`,Teen Wolf (TV),7592,`['F', 'M']`,Whi/POC
`[83, None]`,`['New', None]`,`['Geralt z Rivii | Geralt of Rivia', 'Jaskier | Dandelion']`,The Witcher (TV),7573,`['M', 'M']`,White
`[84, None]`,`['-', 14]`,`['Dean Winchester', 'You']`,Supernatural,7555,Other,Whi/Amb
`[85, None]`,`['+', 4]`,`['James "Bucky" Barnes', 'Tony Stark']`,Marvel Cinematic Universe,7456,`['M', 'M']`,White
`[86, None]`,`['-', 7]`,`['Arthur', 'Eames (Inception)']`,Inception (2010),7397,`['M', 'M']`,White
`[87, None]`,`['-', 10]`,`['Jim Ellison', 'Blair Sandburg']`,The Sentinel (TV),7366,`['M', 'M']`,White
`[88, None]`,`['New', None]`,`['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic']`,Boku no Hero Academia | My Hero Academia,7325,`['M', 'M']`,POC
`[89, None]`,`['+', 9]`,`['Poe Dameron', 'Finn']`,Star Wars Sequel Trilogy,7239,`['M', 'M']`,POC
`[90, None]`,`['-', 6]`,`['Peter Parker', 'Wade Wilson']`,Spider-Man - All Media Types,7206,`['M', 'M']`,White
`[91, None]`,`['+', 4]`,`['Kim Taehyung | V', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,7176,`['M', 'M']`,POC
`[92, None]`,`['-', 14]`,`['Josh Dun', 'Tyler Joseph']`,Twenty One Pilots,7082,`['M', 'M']`,Whi/POC
`[93, None]`,`['New', None]`,`['Jaime Lannister', 'Brienne of Tarth']`,Game of Thrones (TV),7063,`['F', 'M']`,White
`[94, None]`,`['-', 9]`,`['Peter Hale', 'Stiles Stilinski']`,Teen Wolf (TV),7047,`['M', 'M']`,White
`[95, None]`,`['-', 2]`,`['Jon Snow', 'Sansa Stark']`,Game of Thrones (TV),6939,`['F', 'M']`,White
`[96, None]`,`['-', 15]`,`['James Bond', 'Q']`,James Bond (Craig movies),6897,`['M', 'M']`,White
`[97, None]`,`['-', 17]`,`['Otabek Altin', 'Yuri Plisetsky']`,Yuri!!! on Ice (Anime),6876,`['M', 'M']`,Whi/POC
`[98, None]`,`['-', 16]`,`['Leo Fitz', 'Jemma Simmons']`,Agents of S.H.I.E.L.D. (TV),6824,`['F', 'M']`,White
`[99, None]`,`['New', None]`,`['Byun Baekhyun', 'Park Chanyeol']`,EXO (Band),6630,`['M', 'M']`,POC
`[100, None]`,`['New', None]`,`['Rey', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,6506,Gen,White
