Rank,Change,Pairing,Fandom,Works,Type,Race
1,0,"['Castiel', 'Dean Winchester']",Supernatural,84563,"['M', 'M']",White
2,0,"['Sherlock Holmes', 'John Watson']",Sherlock (TV),61544,"['M', 'M']",White
3,0,"['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),59286,"['M', 'M']",White
4,0,"['James ""Bucky"" Barnes', 'Steve Rogers']",Captain America (Movies),49659,"['M', 'M']",White
5,0,"['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,40312,"['M', 'M']",White
6,1,"['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),36264,"['M', 'M']",White
7,-1,"['Harry Styles', 'Louis Tomlinson']",One Direction (Band),33126,"['M', 'M']",White
8,0,"['Keith', 'Lance (Voltron)']",Voltron: Legendary Defender,30317,"['M', 'M']",Amb/POC
9,50,"['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),28208,"['M', 'M']",White
10,-1,"['Dean Winchester', 'Sam Winchester']",Supernatural,27696,"['M', 'M']",White
11,0,"['Magnus Bane', 'Alec Lightwood']",Shadowhunters (TV),24787,"['M', 'M']",Whi/POC
