Rank,Change,Pairing,Fandom,Works,Type,Race
1,0,`['Castiel', 'Dean Winchester']`,Supernatural,66148,`['M', 'M']`,White
2,0,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),52232,`['M', 'M']`,White
3,0,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),47528,`['M', 'M']`,White
4,0,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),29338,`['M', 'M']`,White
5,0,`['James “Bucky” Barnes', 'Steve Rogers']`,Captain America (Movies),27854,`['M', 'M']`,White
6,0,`['Dean Winchester', 'Sam Winchester']`,Supernatural,22797,`['M', 'M']`,White
7,2,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,22402,`['M', 'M']`,White
8,-1,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),19859,`['M', 'M']`,White
9,-1,`['Merlin', 'Arthur Pendragon']`,Merlin (TV),17565,`['M', 'M']`,White
10,1,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),14453,Gen,White
11,-1,`['Blaine Anderson', 'Kurt Hummel']`,Glee,14059,`['M', 'M']`,Whi/POC
12,N,`['Katsuki Yuuri', 'Victor Nikiforov']`,Yuri!!! on Ice (Anime),13902,`['M', 'M']`,Whi/POC
13,0,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,11702,`['M', 'M']`,White
14,-2,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),11683,`['M', 'M']`,White
15,4,`['Will Graham', 'Hannibal Lecter']`,Hannibal (TV),11262,`['M', 'M']`,White
16,-1,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,11242,`['M', 'M']`,White
17,N,`['Keith', 'Lance (Voltron)']`,Voltron: Legendary Defender,10614,`['M', 'M']`,Amb/POC
18,-4,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,10445,`['M', 'M']`,White
19,2,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,10137,`['M', 'M']`,White
20,-2,`['Gabriel', 'Sam Winchester']`,Supernatural,10060,`['M', 'M']`,White
