Rank,Change,Pairing Tag,Fandom,Works,Type,Race
1,+1,`['Castiel', 'Dean Winchester']`,Supernatural,`43,209`,`['M', 'M']`,White
2,-1,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),`39,374`,`['M', 'M']`,White
3,0,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),`34,999`,`['M', 'M']`,White
4,0,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),`21,658`,`['M', 'M']`,White
5,0,`['Dean Winchester', 'Sam Winchester']`,Supernatural,`14,677`,`['M', 'M']`,White
6,0,`['Merlin', 'Arthur Pendragon']`,Merlin (TV),`13,337`,`['M', 'M']`,White
7,+15,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),`12,337`,`['M', 'M']`,White
8,0,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),`11,999`,`['M', 'M']`,White
9,-2,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,`11,552`,`['M', 'M']`,White
10,0,`['Blaine Anderson', 'Kurt Hummel']`,Glee,`10,911`,`['M', 'M']`,Whi/POC
11,-2,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),`10,524`,Gen,White
12,-1,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,`8,548`,`['M', 'M']`,White
13,0,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men: First Class (2011),`8,544`,`['M', 'M']`,White
14,0,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,`7,751`,`['M', 'M']`,White
15,+2,`['Clint Barton', 'Phil Coulson']`,The Avengers (Marvel Movies),`7,484`,`['M', 'M']`,White
16,+17,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,`7,207`,`['M', 'M']`,White
17,+1,`['Enjolras', 'Grantaire']`,Les Misérables - All Media Types,`6,838`,`['M', 'M']`,White
18,+7,`['Clint Barton', 'Natasha Romanov']`,The Avengers (Marvel Movies),`6,751`,`['F', 'M']`,White
19,+8,`['Zayn Malik', 'Liam Payne']`,One Direction (Band),`6,665`,`['M', 'M']`,Whi/POC
20,-4,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),`6,534`,`['M', 'M']`,White
21,+7,`['Gabriel', 'Sam Winchester']`,Supernatural,`6,325`,`['M', 'M']`,White
22,-3,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),`6,247`,`['M', 'M']`,White
23,-11,`['Jim Ellison', 'Blair Sandburg']`,The Sentinel,`6,090`,`['M', 'M']`,White
24,+10,`['Bilbo Baggins', 'Thorin Oakenshield']`,The Hobbit - All Media Types,`6,086`,`['M', 'M']`,White
25,+14,`['Ian Gallagher', 'Mickey Milkovich']`,Shameless (US),`5,908`,`['M', 'M']`,White
26,-2,`['Harry Potter', 'Severus Snape']`,Harry Potter - J. K. Rowling,`5,812`,`['M', 'M']`,White
27,-7,`['Jack Harkness', 'Ianto Jones']`,Torchwood,`5,689`,`['M', 'M']`,White
28,-2,`['Loki', 'Thor']`,Thor (Movies),`5,653`,`['M', 'M']`,White
29,-6,`['Allison Argent', 'Scott McCall']`,Teen Wolf (TV),`5,645`,`['F', 'M']`,Whi/POC
30,0,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,`5,462`,`['M', 'M']`,White
31,0,`['Pepper Potts', 'Tony Stark']`,The Avengers (Marvel Movies),`5,446`,`['F', 'M']`,White
32,-11,`['James T. Kirk', 'Leonard McCoy']`,Star Trek: Alternate Original Series (Movies),`5,440`,`['M', 'M']`,White
33,-18,`['Clark Kent', 'Lex Luthor']`,Smallville,`5,270`,`['M', 'M']`,White
34,+3,`['Mycroft Holmes', 'Lestrade']`,Sherlock (TV),`4,988`,`['M', 'M']`,White
35,-3,`['Loki', 'Tony Stark']`,The Avengers (Marvel Movies),`4,935`,`['M', 'M']`,White
36,-1,`['Frank Iero', 'Gerard Way']`,My Chemical Romance,`4,902`,`['M', 'M']`,White
37,+32,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),`4,864`,`['F', 'M']`,White
38,-9,`['Arthur', 'Eames (Inception)']`,Inception (2010),`4,676`,`['M', 'M']`,White
39,-3,`['Will Graham', 'Hannibal Lecter']`,Hannibal (TV),`4,626`,`['M', 'M']`,White
40,+11,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),`4,594`,`['F', 'F']`,Whi/POC
