Rank,Change,Pairing,Fandom,Works,Type,Race
1,0,`['Castiel', 'Dean Winchester']`,Supernatural,79650,`['M', 'M']`,White
2,0,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),59436,`['M', 'M']`,White
3,0,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),56021,`['M', 'M']`,White
4,1,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),43515,`['M', 'M']`,White
5,2,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,33110,`['M', 'M']`,White
6,-2,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),32449,`['M', 'M']`,White
7,1,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),30700,`['M', 'M']`,White
8,9,`['Keith', 'Lance (Voltron)']`,Voltron: Legendary Defender,27848,`['M', 'M']`,Amb/POC
9,-3,`['Dean Winchester', 'Sam Winchester']`,Supernatural,26287,`['M', 'M']`,White
10,2,`['Katsuki Yuuri', 'Victor Nikiforov']`,Yuri!!! on Ice (Anime),22515,`['M', 'M']`,Whi/POC
11,11,`['Magnus Bane', 'Alec Lightwood']`,Shadowhunters (TV),21224,`['M', 'M']`,Whi/POC
12,-3,`['Merlin', 'Arthur Pendragon']`,Merlin (TV),21068,`['M', 'M']`,White
13,33,`['Jeon Jungkook', 'Kim Taehyung | V']`,Bangtan Boys | BTS,18118,`['M', 'M']`,POC
14,27,`['Min Yoongi | Suga', 'Park Jimin']`,Bangtan Boys | BTS,16849,`['M', 'M']`,POC
15,-5,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),16630,Gen,White
16,5,`['Dan Howell', 'Phil Lester']`,Phandom/The Fantastic Foursome (YouTube RPF),15554,`['M', 'M']`,White
17,-6,`['Blaine Anderson', 'Kurt Hummel']`,Glee,15245,`['M', 'M']`,Whi/POC
18,-3,`['Will Graham', 'Hannibal Lecter']`,Hannibal (TV),15214,`['M', 'M']`,White
19,0,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,14755,`['M', 'M']`,White
20,35,`['Adrien Agreste | Chat Noir', 'Marinette Dupain-Cheng | Ladybug']`,Miraculous Ladybug,14477,`['F', 'M']`,Whi/POC
21,18,`['Pepper Potts', 'Tony Stark']`,The Avengers (Marvel Movies),13847,`['F', 'M']`,White
22,-9,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,13567,`['M', 'M']`,White
23,41,`['Kim Namjoon | RM', 'Kim Seokjin | Jin']`,Bangtan Boys | BTS,13558,`['M', 'M']`,POC
24,-10,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),13418,`['M', 'M']`,White
25,40,`['Jeon Jungkook', 'Park Jimin']`,Bangtan Boys | BTS,13306,`['M', 'M']`,POC
26,-6,`['Gabriel', 'Sam Winchester']`,Supernatural,12661,`['M', 'M']`,White
27,-11,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,12647,`['M', 'M']`,White
28,9,`['Armitage Hux', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,12275,`['M', 'M']`,White
29,N,`['Rey', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,12260,`['F', 'M']`,White
30,N,`['Keith', 'Shiro (Voltron)']`,Voltron: Legendary Defender,12182,`['M', 'M']`,Amb/POC
31,16,`['Loki', 'Thor']`,Thor (Movies),11533,`['M', 'M']`,White
32,-7,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),11497,`['F', 'M']`,White
33,0,`['Bellamy Blake', 'Clarke Griffin']`,The 100 (TV),11448,`['F', 'M']`,Whi/POC
34,-16,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,11406,`['M', 'M']`,White
35,-8,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),11388,`['F', 'F']`,Whi/POC
36,-5,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),10901,`['M', 'M']`,White
37,-11,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),10895,`['M', 'M']`,White
38,-6,`['Clarke Griffin', 'Lexa']`,The 100 (TV),10839,`['F', 'F']`,White
