Rank,Change,Relationship,Fandom,Works,Type,Race
1,0,"['Castiel', 'Dean Winchester']",Supernatural,96616,"['M', 'M']","['White', 'White']"
2,0,"['Sherlock Holmes', 'John Watson']",Sherlock (TV),64408,"['M', 'M']","['White', 'White']"
3,0,"['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),62648,"['M', 'M']","['White', 'White']"
4,0,"['James ""Bucky"" Barnes', 'Steve Rogers']",Captain America (Movies),55252,"['M', 'M']","['White', 'White']"
5,0,"['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,49245,"['M', 'M']","['White', 'White']"
6,0,"['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),40510,"['M', 'M']","['White', 'White']"
7,2,"['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),36546,"['M', 'M']","['White', 'White']"
8,-1,"['Harry Styles', 'Louis Tomlinson']",One Direction (Band),35365,"['M', 'M']","['White', 'White']"
9,-1,"['Keith', 'Lance (Voltron)']",Voltron: Legendary Defender,31707,"['M', 'M']","['Ambig', 'Latino']"
10,0,"['Dean Winchester', 'Sam Winchester']",Supernatural,29526,"['M', 'M']","['White', 'White']"
11,2,"['Jeon Jungkook', 'Kim Taehyung | V']",Bangtan Boys | BTS,28479,"['M', 'M']","['Asian', 'Asian']"
12,-1,"['Magnus Bane', 'Alec Lightwood']",Shadowhunters (TV),28086,"['M', 'M']","['Asian', 'White']"
13,1,"['Rey', 'Ben Solo | Kylo Ren']",Star Wars Sequel Trilogy,25865,"['F', 'M']","['White', 'White']"
