Rank,Change,Relationship,Fandom,Total Works,Type,Race
`[1, None]`,`[None, 0]`,`['Castiel', 'Dean Winchester']`,Supernatural,56390,`['M', 'M']`,White
`[2, None]`,`[None, 0]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),46048,`['M', 'M']`,White
`[3, None]`,`[None, 0]`,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),42539,`['M', 'M']`,White
`[4, None]`,`[None, 0]`,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),27354,`['M', 'M']`,White
`[5, None]`,`['+', 2]`,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),21639,`['M', 'M']`,White
`[6, None]`,`['-', 1]`,`['Dean Winchester', 'Sam Winchester']`,Supernatural,18976,`['M', 'M']`,White
`[7, None]`,`['+', 1]`,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),16414,`['M', 'M']`,White
`[8, None]`,`['-', 2]`,`['Merlin', 'Arthur Pendragon']`,Merlin (TV),15778,`['M', 'M']`,White
`[9, None]`,`[None, 0]`,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,15190,`['M', 'M']`,White
`[10, None]`,`[None, 0]`,`['Blaine Anderson', 'Kurt Hummel']`,Glee,12943,`['M', 'M']`,Whi/POC
`[11, None]`,`['-', 11]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),12484,Gen,White
`[12, None]`,`['+', 1]`,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),10365,`['M', 'M']`,White
`[13, None]`,`['+', 3]`,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,10116,`['M', 'M']`,White
`[14, None]`,`['-', 2]`,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,9745,`['M', 'M']`,White
`[15, None]`,`['-', 1]`,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,9636,`['M', 'M']`,White
`[16, None]`,`['-', 1]`,`['Clint Barton', 'Phil Coulson']`,The Avengers (Marvel Movies),8894,`['M', 'M']`,White
`[17, None]`,`['+', 1]`,`['Clint Barton', 'Natasha Romanov']`,The Avengers (Marvel Movies),8812,`['F', 'M']`,White
`[18, None]`,`['+', 3]`,`['Gabriel', 'Sam Winchester']`,Supernatural,8513,`['M', 'M']`,White
`[19, None]`,`['+', 20]`,`['Will Graham', 'Hannibal Lecter']`,Hannibal (TV),8488,`['M', 'M']`,White
`[20, None]`,`['-', 1]`,`['Zayn Malik', 'Liam Payne']`,One Direction (Band),8060,`['M', 'M']`,Whi/POC
`[21, None]`,`['+', 9]`,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,8006,`['M', 'M']`,White
`[22, None]`,`['-', 5]`,`['Enjolras', 'Grantaire']`,Les Misérables - All Media Types,7907,`['M', 'M']`,White
`[23, None]`,`['+', 1]`,`['Bilbo Baggins', 'Thorin Oakenshield']`,The Hobbit - All Media Types,7719,`['M', 'M']`,White
`[24, None]`,`['+', 13]`,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),7665,`['F', 'M']`,White
`[25, None]`,`['-', 3]`,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),7501,`['M', 'M']`,White
`[26, None]`,`['-', 6]`,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),7484,`['M', 'M']`,White
`[27, None]`,`['+', 13]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),7239,`['F', 'F']`,Whi/POC
`[28, None]`,`['-', 3]`,`['Ian Gallagher', 'Mickey Milkovich']`,Shameless (US),6885,`['M', 'M']`,White
`[29, None]`,`['+', 2]`,`['Pepper Potts', 'Tony Stark']`,The Avengers (Marvel Movies),6869,`['F', 'M']`,White
