Rank,Change,Pairing Tag,Fandom,Works,Type,Race
1,0,`['Castiel', 'Dean Winchester']`,Supernatural,`56,390`,`['M', 'M']`,White
2,0,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),`46,048`,`['M', 'M']`,White
3,0,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),`42,539`,`['M', 'M']`,White
4,0,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),`27,354`,`['M', 'M']`,White
5,2,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),`21,639`,`['M', 'M']`,White
6,-1,`['Dean Winchester', 'Sam Winchester']`,Supernatural,`18,976`,`['M', 'M']`,White
7,1,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),`16,414`,`['M', 'M']`,White
8,-2,`['Merlin', 'Arthur Pendragon']`,Merlin (TV),`15,778`,`['M', 'M']`,White
9,0,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,`15,190`,`['M', 'M']`,White
10,0,`['Blaine Anderson', 'Kurt Hummel']`,Glee,`12,943`,`['M', 'M']`,Whi/POC
11,-11,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),`12,484`,Gen,White
12,1,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),`10,365`,`['M', 'M']`,White
13,3,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,`10,116`,`['M', 'M']`,White
14,-2,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,`9,745`,`['M', 'M']`,White
15,-1,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,`9,636`,`['M', 'M']`,White
16,-1,`['Clint Barton', 'Phil Coulson']`,The Avengers (Marvel Movies),`8,894`,`['M', 'M']`,White
17,1,`['Clint Barton', 'Natasha Romanov']`,The Avengers (Marvel Movies),`8,812`,`['F', 'M']`,White
18,3,`['Gabriel', 'Sam Winchester']`,Supernatural,`8,513`,`['M', 'M']`,White
19,20,`['Will Graham', 'Hannibal Lecter']`,Hannibal (TV),`8,488`,`['M', 'M']`,White
20,-1,`['Zayn Malik', 'Liam Payne']`,One Direction (Band),`8,060`,`['M', 'M']`,Whi/POC
21,9,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,`8,006`,`['M', 'M']`,White
22,-5,`['Enjolras', 'Grantaire']`,Les Misérables - All Media Types,`7,907`,`['M', 'M']`,White
23,1,`['Bilbo Baggins', 'Thorin Oakenshield']`,The Hobbit - All Media Types,`7,719`,`['M', 'M']`,White
24,13,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),`7,665`,`['F', 'M']`,White
25,-3,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),`7,501`,`['M', 'M']`,White
26,-6,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),`7,484`,`['M', 'M']`,White
27,13,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),`7,239`,`['F', 'F']`,Whi/POC
28,-3,`['Ian Gallagher', 'Mickey Milkovich']`,Shameless (US),`6,885`,`['M', 'M']`,White
29,2,`['Pepper Potts', 'Tony Stark']`,The Avengers (Marvel Movies),`6,869`,`['F', 'M']`,White
30,15,`['Bellamy Blake', 'Clarke Griffin']`,The 100 (TV),`6,756`,`['F', 'M']`,Whi/POC
31,-5,`['Harry Potter', 'Severus Snape']`,Harry Potter - J. K. Rowling,`6,751`,`['M', 'M']`,White
32,4,`['Frank Iero', 'Gerard Way']`,My Chemical Romance,`6,667`,`['M', 'M']`,White
33,-6,`['Jack Harkness', 'Ianto Jones']`,Torchwood,`6,666`,`['M', 'M']`,White
34,-6,`['Loki', 'Thor']`,Thor (Movies),`6,506`,`['M', 'M']`,White
35,-6,`['Allison Argent', 'Scott McCall']`,Teen Wolf (TV),`6,471`,`['F', 'M']`,Whi/POC
36,45,`['Dan Howell', 'Phil Lester']`,Phandom/The Fantastic Foursome (YouTube RPF),`6,465`,`['M', 'M']`,White
